title,price,date added,type,bedrooms,bathrooms,area,location,complete location,description,keywords,url
West Open 2 Bed Apartment For Sale In Precinct 19,75 Lakh,1 day ago,Flat,2,3,106 Sq. Yd.,"Bahria Town Karachi, Karachi, Sindh","Bahria Town - Precinct 19, Bahria Town Karachi, Karachi, Sindh",950 Sq Feet Apartment With Key Available For Sale In Bahria Town Karachi. ,"Built in year: 2022,Parking Spaces,Lobby in Building,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Floor,Floors in Building,Elevators,Service Elevators in Building,Other Main Features,Furnished,Bedrooms: 2,Bathrooms: 3,Servant Quarters,Drawing Room,Dining Room,Kitchens,Study Room,Prayer Room,Powder Room ,Gym,Store Rooms,Steam Room,Lounge or Sitting Room,Laundry Room,Other Rooms,Broadband Internet Access,Satellite or Cable TV Ready,Business Center or Media Room in Building,Conference Room in Building,Intercom,ATM Machines,Other Business and Communication Facilities,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Other Community Facilities,Sauna,Jacuzzi,Other Healthcare and Recreation Facilities,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Maintenance Staff,Security Staff,Laundry or Dry Cleaning Facility,Communal/Shared Kitchen,Facilities for Disabled,Pet Policy,Other Facilities",https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_19_west_open_2_bed_apartment_for_sale_in_precinct_19-42619074-10030-1.html
Downtown Karachi - A cut above the rest - 520sq yards house available for sale,13.75 Crore,16 hours ago,House,6,6,520 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton - Block 5, Clifton, Karachi, Sindh",Beauty starts from within. ,"Flooring,Electricity Backup,Waste Disposal,Drawing Room,Dining Room,Kitchens: 1,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",https://www.zameen.com/Property/clifton_clifton_block_5_downtown_karachi_a_cut_above_the_rest_520sq_yards_house_available_for_sale-38713899-1667-1.html
950 SQ Ft 2 Bed Apartment Available for Sale In precinct 19,70 Lakh,18 hours ago,Flat,2,2,106 Sq. Yd.,"Bahria Town Karachi, Karachi, Sindh","Bahria Town - Precinct 19, Bahria Town Karachi, Karachi, Sindh",950 SQ Ft 2 Bed Apartment Available for Sale In precinct 19,"Lobby in Building,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Floor,Floors in Building: 6,Elevators: 4,Bedrooms: 2,Bathrooms: 2,Store Rooms: 1,Broadband Internet Access,Satellite or Cable TV Ready,ATM Machines,Community Lawn or Garden,Community Gym,First Aid or Medical Centre,Kids Play Area,Barbeque Area,Mosque,Maintenance Staff,Security Staff,Pet Policy",https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_19_950_sq_ft_2_bed_apartment_available_for_sale_in_precinct_19-42674514-10030-1.html
Bungalow Facing Apartment Available For Sale,1.35 Crore,8 hours ago,Flat,2,2,100 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 6, DHA Defence, Karachi, Sindh",DHA Phase 6 . Banglow Facing   2 Bedrooms Attached Bathroom  Drawing Dinning Tv Lounge Tilled Flooring West Open line Water enteres on 40 feet wide banglow facing road frunt side on 50 feet wide road 3rd floor 900 square feet family & mantain building Demand : 1 crore 35 lac negotiable,"Built in year: 2010,Parking Spaces: 1,Flooring,Electricity Backup,Floor: 3,Floors in Building: 4,Bedrooms: 2,Bathrooms: 2,Kitchens: 1,Other Healthcare and Recreation Facilities,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service",https://www.zameen.com/Property/d_h_a_dha_phase_6_bungalow_facing_apartment_available_for_sale-42139505-1483-1.html
Flat Of 1800 Square Feet Available In Clifton - Block 8,5.25 Crore,6 hours ago,Flat,3,3,200 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton - Block 8, Clifton, Karachi, Sindh",APARTMENT FOR SALE ,"Flooring,Electricity Backup,Drawing Room,Dining Room,Kitchens: 1,Pet Policy",https://www.zameen.com/Property/clifton_clifton_block_8_flat_of_1800_square_feet_available_in_clifton_block_8-42914805-1670-1.html
2300 Square Feet Flat Is Available For sale In DHA Phase 5,2.75 Crore,6 hours ago,Flat,4,4,256 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 5, DHA Defence, Karachi, Sindh",Apartment for sale ,"Flooring,Electricity Backup,Broadband Internet Access,Satellite or Cable TV Ready,Business Center or Media Room in Building,Conference Room in Building,Pet Policy",https://www.zameen.com/Property/d_h_a_dha_phase_5_2300_square_feet_flat_is_available_for_sale_in_dha_phase_5-42947198-1482-1.html
Book A Flat Of 1800 Square Feet In Clifton - Block 9 Karachi,4.1 Crore,6 hours ago,Flat,3,3,200 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton - Block 9, Clifton, Karachi, Sindh",Clifton Comfort ,"Flooring,Electricity Backup,Satellite or Cable TV Ready,Conference Room in Building,Pet Policy",https://www.zameen.com/Property/clifton_clifton_block_9_book_a_flat_of_1800_square_feet_in_clifton_block_9_karachi-42333573-1671-1.html
"1800 Square Feet Flat For sale In Clifton - Block 8 Karachi In Only Rs. 55,000,000",5.5 Crore,6 hours ago,Flat,3,3,200 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton - Block 8, Clifton, Karachi, Sindh",Apartment for sale,"Flooring,Electricity Backup,Broadband Internet Access,Satellite or Cable TV Ready,Business Center or Media Room in Building,Pet Policy",https://www.zameen.com/Property/clifton_clifton_block_8_1800_square_feet_flat_for_sale_in_clifton_block_8_karachi_in_only_rs_55_000_000-42887094-1670-1.html
1150 Square Feet Flat In Clifton - Block 9 For sale,3.5 Crore,6 hours ago,Flat,2,2,128 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton - Block 9, Clifton, Karachi, Sindh",Indogo Apartment ,"Flooring,Electricity Backup,Satellite or Cable TV Ready,Conference Room in Building,Pet Policy",https://www.zameen.com/Property/clifton_clifton_block_9_1150_square_feet_flat_in_clifton_block_9_for_sale-42333574-1671-1.html
Ready To Buy A Flat 1800 Square Feet In Clifton - Block 9,4.1 Crore,6 hours ago,Flat,3,3,200 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton - Block 9, Clifton, Karachi, Sindh",Apartment for sale,"Flooring,Electricity Backup,Broadband Internet Access,Satellite or Cable TV Ready,Business Center or Media Room in Building,Pet Policy",https://www.zameen.com/Property/clifton_clifton_block_9_ready_to_buy_a_flat_1800_square_feet_in_clifton_block_9-42887086-1671-1.html
350 Square Yards Villa Is Available For Sale In Bahria Town Karachi,2.1 Crore,14 hours ago,House,4,4,350 Sq. Yd.,"Bahria Town Karachi, Karachi, Sindh","Bahria Town Karachi, Karachi, Sindh","All your dreams can come true with this House, which is well-constructed and centrally-located. You can book your unit for sale today without a worry. You can decorate the 350 Square Yards property you purchase as you like, so what are you waiting for. A similar property for this Rs","Flooring,Electricity Backup,Bedrooms: 4,Bathrooms: 4,Servant Quarters,Drawing Room,Dining Room,Kitchens,Maintenance Staff,Security Staff",https://www.zameen.com/Property/karachi_bahria_town_karachi_350_square_yards_villa_is_available_for_sale_in_bahria_town_karachi-42817094-8298-1.html
Vip Apartment For Sale 2 Bedroom,55 Lakh,12 hours ago,Flat,2,2,50 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 6, DHA Defence, Karachi, Sindh",Apartment For Sale 2 Bedroom Attached Bathroom With launch and Kitchen West Open VIP location VIP flat fully Renovated Vip building 2nd floor Muslim commercial Street 02 visit anytime moro information please contact me property Connection,"Built in year,Parking Spaces,Flooring,Floor,Floors in Building,Bedrooms: 2,Bathrooms: 2,Kitchens,ATM Machines",https://www.zameen.com/Property/d_h_a_dha_phase_6_vip_apartment_for_sale_2_bedroom-43178448-1483-1.html
Three bed lounge apartment for sale in DHA Phase 5 on 1st floor.,80 Lakh,10 hours ago,Flat,3,3,128 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 5, DHA Defence, Karachi, Sindh",Three bed lounge apartment for sale. ,"Lobby in Building,Flooring,Electricity Backup,Floor: 1,Bedrooms: 3,Bathrooms: 3,Dining Room,Kitchens: 1,Store Rooms: 1,Lounge or Sitting Room,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,ATM Machines,Kids Play Area,Barbeque Area,Mosque,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Maintenance Staff,Security Staff",https://www.zameen.com/Property/d_h_a_dha_phase_5_three_bed_lounge_apartment_for_sale_in_dha_phase_5_on_1st_floor_-42842118-1482-1.html
VIP Apartment For Sale 3 Bedroom  Attached Bathroom,90 Lakh,12 hours ago,Flat,3,3,128 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 5, DHA Defence, Karachi, Sindh",Apartment For Sale 3 Bedroom Attached 3 washroom and Kitchen West Open VIP location VIP flat fully Renovated Vip building 3rd floor maintenance building Family Building Vip Falat visit anytime moro information please contact,"Built in year,Parking Spaces,Flooring,Floor,Floors in Building,Bedrooms: 3,Bathrooms: 3,Drawing Room,Kitchens,ATM Machines",https://www.zameen.com/Property/d_h_a_dha_phase_5_vip_apartment_for_sale_3_bedroom__attached_bathroom-43178208-1482-1.html
Outclass Bungalow 500 Yards For Sale For Taste Full Buyer Modern Design,16 Crore,7 hours ago,House,5,6,500 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 8, DHA Defence, Karachi, Sindh",DEFENCE PHASE 8,"Built in year,Parking Spaces: 3,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Floors: 2,Bedrooms: 6,Bathrooms: 6,Servant Quarters: 2,Drawing Room,Dining Room,Kitchens: 2,Study Room,Prayer Room,Powder Room ,Gym,Store Rooms: 2,Steam Room,Lounge or Sitting Room,Laundry Room,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Community Lawn or Garden,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Lawn or Garden,Sauna,Jacuzzi,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Maintenance Staff,Security Staff,Facilities for Disabled",https://www.zameen.com/Property/d_h_a_dha_phase_8_outclass_bungalow_500_yards_for_sale_for_taste_full_buyer_modern_design-40989790-1485-1.html
DHA Phase 8 Brand New 1000 Sq. Yds Bungalow For Sale,30 Crore,15 hours ago,House,6,6,"1,000 Sq. Yd.","DHA Defence, Karachi, Sindh","DHA Phase 8, DHA Defence, Karachi, Sindh",Brand New Bungalow ,"Built in year,Parking Spaces,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Other Main Features,Furnished,Bedrooms,Bathrooms,Servant Quarters,Drawing Room,Dining Room,Kitchens,Study Room,Prayer Room,Powder Room ,Gym,Store Rooms,Steam Room,Lounge or Sitting Room,Laundry Room,Other Rooms,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Other Business and Communication Facilities,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Other Community Facilities,Sauna,Jacuzzi,Other Healthcare and Recreation Facilities,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Maintenance Staff,Security Staff,Facilities for Disabled,Other Facilities",https://www.zameen.com/Property/d_h_a_dha_phase_8_dha_phase_8_brand_new_1000_sq_yds_bungalow_for_sale-43186475-1485-1.html
